"#","Título","Verso Bíblico / Pasaje","Estilo Musical (Suno Tags)","Temática Central","Instrumentación Clave","BPM","","",""
"1","Cireneo","Lucas 23:26 (Simón de Cirene)","Balada Cinemática, Duduk, Lento (68 BPM)","Carga compartida / Sufrimiento","","","","",""
"2","Alabastro","Lucas 7:37 (Mujer pecadora)","Cinematic Worship, Cello Solo, Íntimo (70 BPM)","Adoración extravagante / Perdón","","","","",""
"3","En la Orilla","Juan 21 (Restauración de Pedro)","Latin Pop Ballad, Flamenco Fusion, Raspy Vocals (68 BPM)","Restauración / Gracia","","","","",""
"4","El Sueño de José","Mateo 1:20 (José)","Acoustic Cinematic, Ambient, Barítono (75 BPM)","Obediencia silenciosa","","","","",""
"5","El Sí de María","Lucas 1:38 (Anunciación)","Acoustic Cinematic, Guitarra y Cello (60 BPM)","Disposición / Humildad","","","","",""
"6","El Camino","Lucas 24 (Emaús)","Acoustic Folk, Storytelling, Guitarra (64 BPM)","Revelación / Compañerismo","","","","",""
"7","Manos de Gracia","Juan 13 (Lavatorio)","Acoustic Cinematic, Íntimo, Sin Caja (60 BPM)","Servicio / Humildad","","","","",""
"8","La Mejor Parte","Lucas 10:42 (María y Marta)","Acoustic Folk, Voz Femenina/Suave (62 BPM)","Prioridad / Presencia","","","","",""
"9","La Travesía Tranquila","Lucas 2 (Viaje a Belén)","Acoustic Cinematic, Orchestral Strings, Narrativo (60 BPM)","Espera / Viaje","","","","",""
"10","La Noche Rota","Lucas 2:8 (Los Pastores)","Cinematic Ballad, Arpas, Triunfante (85 BPM)","Asombro / Anuncio angelical","","","","",""
"11","La Ofrenda Real","Mateo 2 (Reyes Magos)","Latin Pop Ballad, Tenor Potente (75 BPM)","Adoración / Entrega","","","","",""
"12","En un Humilde Pesebre","Juan 1 / Lucas 2 (Encarnación)","Acoustic Cinematic, Contemplativo (60 BPM)","Humildad divina","","","","",""
"13","Emmanuel","Mateo 1:23","Latin Pop Celebration, Percusión Latina, Alegre (110 BPM)","Celebración / Dios con nosotros","","","","",""
"14","Siete Vueltas","Josué 6 (Jericó)","Flamenco Rock, Funk Bass, Brass Section (110 BPM)","Victoria / Fe activa","","","","",""
"15","El Manto","Marcos 5 (Mujer del flujo)","Cinematic Worship, Heavy Kick, Deep Percussion (66 BPM)","Fe desesperada / Sanidad","","","","",""
"16","Guardián","Apocalipsis 5 (León de Judá)","Cinematic Ballad, Duduk, Rugidos FX (65 BPM)","Protección / Poder","","","","",""
"17","Soplo de Vida","Ezequiel 37 (Huesos Secos)","Latin Pop Power Ballad, Bass Boosted, Épico (62 BPM)","Avivamiento / Restauración","","","","",""
"18","La Piedra Rodó","Mateo 28 (Resurrección)","Power Ballad, Full Band, Explosivo (62 BPM)","Victoria sobre la muerte","","","","",""
"19","A Medianoche","Hechos 16 (Pablo y Silas)","Power Ballad, Cadenas FX, Slow Burn (58 BPM)","Alabanza en la prueba","","","","",""
"20","Tu Sombra y Tu Luz","Éxodo 13 (Nube y Fuego)","Latin Pop, Electric Guitar, Bass Boosted (62 BPM)","Dirección divina","","","","",""
"21","Kadosh","Isaías 6 (Santidad)","Messianic Worship, Saxo Soprano, Canto Hebreo (62 BPM)","Santidad de Dios","","","","",""
"22","León y Cordero","Apocalipsis 5","Orchestral Anthem, Violín Erhu, Épico (74 BPM)","Soberanía / Sacrificio","","","","",""
"23","Consumado Es","Juan 19 (La Cruz)","Ambient Worship, Ethereal Pads, Cello (68 BPM)","Redención completa","","","","",""
"24","El Susurro","1 Reyes 19 (Elías)","Acoustic Cinematic, Susurrado, Guitarra (60 BPM)","Voz de Dios / Calma","","","","",""
"25","Mío Eres Tú","Isaías 43 (Identidad)","Modern Ambient, Guitarra eléctrica, Synth (66 BPM)","Identidad / Pertenencia","","","","",""
"26","En Tus Manos","Jeremías 18 (El Alfarero)","Folk Worship, Fingerpicking, Contemplativo (62 BPM)","Formación / Soberanía","","","","",""
"27","Refugio Seguro","Salmo 62 / Salmo 18","Folk Worship, Guitarra Acústica (62 BPM)","Dios como Roca / Seguridad","","","","",""
"28","Getsemaní","Mateo 26:39","Cinematic Ballad, Piano y Guitarra (60 BPM)","Rendición / Voluntad","","","","",""
"29","Invisible","Hebreos 11 (Fe)","Ambient Worship, Etéreo, Misterioso (60 BPM)","Fe en lo no visto","","","","",""
"30","Espejo de Fuego","Apocalipsis 15 / 4","Celtic Worship, Flauta Irlandesa, Arpa (60 BPM)","Adoración celestial","","","","",""
"31","Cielo Nuevo","Apocalipsis 21","Acoustic Cinematic, Piano Celestial (60 BPM)","Esperanza eterna","","","","",""
"32","Maranatha","Apocalipsis 22","Ethereal Worship, Reverse Piano, Místico (64 BPM)","Anhelo del regreso","","","","",""
"33","Solo una Cosa","Salmo 27:4","Intimate Worship, Piano & Cello Duet, Soft Vocals (64 BPM)","Anhelo / Contemplación","","","","",""
"34","El Escondite","Salmo 32:7 / Salmo 91","Ambient Cinematic, Deep Pads, Protective Vibe (60 BPM)","Refugio / Seguridad","","","","",""
"35","Tu Mirada Me Sigue","Salmo 139:1-8","Modern Ambient Worship, E-Bow Guitar, Shimmer (72 BPM)","Confianza / Omnisciencia","","","","",""
"36","AGUA DE VIDA","Salmo 42","Crystalline Worship, Water FX, Flowing","Sed espiritual / Renovación","","","","",""
"37","ECOS DE LUZ","Salmo 19","Cosmic Ambient Worship, Mallet Sounds, Ethereal","Majestad / Creación","Vibráfono & Handpan","70","","",""
"38","ALAS DEL ALBA","Salmo 139","Ambient Post-Rock Worship, Ethereal, Floating 65 bpm","Omnipresencia / Guía","Guitarra E-Bow & Felt Piano","65","","",""
"39","QUIETUD","Salmo 46","Ambient Worship, Liquid Textures 65 bpm","Paz / Confianza (""Raphah"")","Ambient Pedal Steel","65","","",""
"40","LA VOZ DE JEHOVÁ","Salmo 29","Deep Ambient Electronic, Warm Synth Bass 65 bpm","Poder y Paz / Majestad","Synth Bass & Glassy Pads","65","","",""
"41","AL DESPERTAR","Salmo 63","Intimate Worship, Piano Ballad, Clear Male Vocals","Intimidad de madrugada / Sed del alma","Grand Piano & Soft Strings","66","","",""
"","Actúa como un compositor experto en música cristiana contemporánea y especialista en ""Prompt Engineering"" para Suno AI. Estamos trabajando en un proyecto de álbum conceptual basado en los Salmos (actualmente Salmo 119).","","","","","","","",""
"","Tu tarea es generar la ficha técnica, los tags de estilo y la letra para cada canción que yo te pida, siguiendo ESTRICTAMENTE las siguientes ""Reglas de Oro"".","","","","","","","",""
"","🔴 REGLAS NEGATIVAS (LO QUE ESTÁ PROHIBIDO):","","","","","","","",""
"","1. PROHIBIDO usar ""Cello"" (Violonchelo) o ""Erhu"" en la instrumentación. (A menos que se pida explícitamente).","","","","","","","",""
"","2. PROHIBIDO usar palabras arcaicas, difíciles o ""de diccionario"" (ej: ""Retuje"", ""Escondedero"", ""Angaria""). Si la Biblia usa una palabra difícil, TÚ debes traducirla a un concepto moderno y cantable (ej: ""Refugio"" en vez de ""Escondedero"").","","","","","","","",""
"","3. PROHIBIDO usar frases de relleno conversacional (ej: ""Llevo todo el día"", ""Hola Dios""). La letra debe ser poética y elevada, pero sencilla.","","","","","","","",""
"","4. PROHIBIDO el tempo rápido/explosivo. El límite general es 70-72 BPM. Buscamos solemnidad y atmósfera.","","","","","","","",""
"","🟢 REGLAS POSITIVAS (LO QUE DEBES HACER):","","","","","","","",""
"","1. ESTILO DE LETRA: Debe ser ""Vertical"" (Adoración directa: Tú eres...) o ""Vivencial/Confesional"" (Sentimientos honestos). Frases cortas y melódicas que respiren bien.","","","","","","","",""
"","2. ESTILO MUSICAL: Preferimos ""Worship Contemporáneo"" (tipo Marco Barrientos), ""Cinematic Pop"", ""Ambient Pop"" o ""Orquestal Suave"".","","","","","","","",""
"","3. FORMATO DE SALIDA: Para cada canción debes entregarme 3 cosas:","","","","","","","",""
"","A) Style of Music (Tags en inglés para Suno).","","","","","","","",""
